genres,original_title,overview,release_date,popularity,poster_path,runtime,directors,title_y
Comedy,Envoyés très spéciaux,"R2I, a famous news radio station, sends its best reporting duo to Iraq: Frank, journalist, and Poussin, sound engineer. Very quickly, millions of listeners follow their highly documented stories, reflecting the hot intensity of the fighting and the difficult survival of the population.",2009-01-21,4.604,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/chieXgJHFPDvvGRmowXOzhR8hCF.jpg,93,Frédéric Auburtin,Envoyés très spéciaux
"Action, Adventure, Drama",Robin Hood,"When soldier Robin happens upon the dying Robert of Loxley, he promises to return the man's sword to his family in Nottingham. There, he assumes Robert's identity; romances his widow, Marion; and draws the ire of the town's sheriff and King John's henchman, Godfrey.",2010-05-12,37.49,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/9NS5QGOfck24yL3bZqWeW06PgPC.jpg,140,Ridley Scott,Robin des Bois
"Family, Comedy",That Darn Cat,"While making his nightly rounds in the neighborhood, Patti's pet cat D.C. finds himself the carrier of a call for help from a kidnap victim. Patti enlists skeptical law enforcement help to find the victim before it's too late.",1997-02-14,9.13,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/dhSoKWNXlU5WTZz2BLjJYjz3weF.jpg,89,Bob Spiers,Le nouvel espion aux pattes de velours
Comedy,Play It to the Bone,"Two aging fighters in LA, friends, get a call from a Vegas promoter because his undercard fighters for a Mike Tyson bout that night are suddenly unavailable. He wants them to box each other. They agree as long as the winner gets a shot at the middleweight title. They enlist Grace, Cesar's current and Vinnie's ex girlfriend, to drive them to Vegas.",1999-12-25,6.995,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/qSJl8pD17doJsAkou5mPvDogBQT.jpg,124,Ron Shelton,Les adversaires
"Comedy, Drama","Mon père, ce héros","Veronique, living with her divorced mother, is going on holiday to Mauritius with her father. To impress a local boy, Benjamin, she manages to complicate the situation by making up stories about her father. She presents him as her lover, a mercenary and even a secret agent which gets her into trouble and then her father has to start playing along...",1991-10-23,6.649,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/yk7z3gksMdu8YLivoJGmW9Q9Veu.jpg,105,Gérard Lauzier,"Mon père, ce héros"
"Comedy, Drama",Hooking Up,"After ""hooking up"" with a series of guys at a house party, April is the talk of her high school.",2009-01-01,3.7,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/xEcnt3MJTyGRxkKFP3nxgBPafMS.jpg,95,"Vincent Scordia, Jeff Siegel",Hooking Up
Comedy,Louise-Michel,"In this radical and endearing black comedy, a group of retrenched female factory workers decide to pool their compensation money… and hire a hit man to liquidate their boss.",2008-09-23,5.779,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/hVBndYreVtlBhIb0K4uSwmnGVSf.jpg,94,"Benoît Delépine, Gustave Kervern",Louise-Michel
Documentary,Lost in La Mancha,"Fulton and Pepe's 2000 documentary captures Terry Gilliam's attempt to get The Man Who Killed Don Quixote off the ground. Back injuries, freakish storms, and more zoom in to sabotage the project.",2002-02-11,9.387,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/gPlWNmQOzJ7j8djCxXcc40syVS3.jpg,93,"Keith Fulton, Louis Pepe",Lost in La Mancha
"Horror, Mystery",Saint Ange,"In 1958, in the French Alp, the young servant Anna Jurin arrives in Saint Ange Orphanage to work with Helena while the orphans moved to new families. Anna, who is secretly pregnant, meets the last orphan, Judith, left behind because of her mental problems, and they become closer when Anna find that Judith also hear voices and footsteps of children.",2004-06-23,10.149,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/2d1JogvQG3Hcay30wo8261otfZ6.jpg,98,Pascal Laugier,"Sanatorium, Saint Ange"
"Drama, Romance",Confidences trop intimes,"Because she picked the wrong door, Anna ends up confessing her marriage problems to a financial adviser named William Faber. Touched by her distress, somewhat excited as well, Faber does not have the courage to tell her that he is not a psychiatrist. From appointment to appointment, a strange ritual is created between them. William is moved and fascinated to hear the secrets no man ever heard.",2004-02-05,3.936,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/yutL7HnWZoeXZAACXq0Hl5Ic0C7.jpg,104,Patrice Leconte,Confidences trop intimes
"Action, Crime, Drama, Thriller",Mobsters,"The story of a group of friends in turn of the century New York, from their early days as street hoods to their rise in the world of organized crime...",1991-07-26,8.907,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/l7GfcGzH4UQzzP0Q3EfBiDbm5yu.jpg,104,Michael Karbelnikoff,Les indomptés
"Fantasy, Adventure, Animation, Family",Kirikou et la sorcière,"Drawn from elements of West African folk tales, it depicts how a newborn boy, Kirikou, saves his village from the evil witch Karaba.",1998-12-09,12.681,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/9RNrozaagFmpm6m0CP7q4XDcIXj.jpg,70,"Michel Ocelot, Raymond Burlet",Kirikou et la sorcière
Thriller,Le serpent,"A ruthless gang led by private detective Joseph Plender is extorting rich people and famous fashion photographer Vincent Mandel seems the next victim. He is married to Hélène, daughter of one of the richest people in Europe, but not quite happily. In fact the marriage is on the brink of a divorce and a judge is deciding who will take the two children. Can Hélène take them to Germany or will they stay with Vincent? Vincent has a lot on his mind and he improvises when model Sofia Kippiani comes to his studio, but his makeup crew doesn't show up. Before he knows it, he is accused of a rape. Things go worse and worse for Vincent, he sees his entire life slipping away and, most importantly, he might lose his children. But why does his former schoolmate Joseph Plender seek contact with Vincent and even solve a nasty problem for him? Does Plender want something more than money?",2007-01-10,4.38,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/7xIY1m3UzRmlakFQtEeXi9dAaAy.jpg,119,Eric Barbier,Le serpent
Comedy,La Doublure,"Caught by tabloid paparazzi with his mistress Elena, a famous and beautiful fashion model, billionaire Pierre Levasseur tries to avoid a divorce by inventing a preposterous lie. He uses the presence of a passerby in the photo to claim to his wife that it's not him Elena is seeing but the other man, one François Pignon. Pignon is a modest little man who works as a parking valet. To make the story convincing, Elena has to move in with Pignon.",2006-03-29,8.821,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/eVP6mln9G4dOoRRrQsY55T0sHOR.jpg,85,Francis Veber,"La Boulette, La Doublure, Projet Veber 2005"
Comedy,Les Bronzés 3: Amis pour la vie,"After the Club Med and skiing, what happened to the Bronzés 27 years later? Early response: the same, and worse.",2006-02-01,6.795,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/9g7z9WG6MS3Q8cYfxTTBC4Ckm9A.jpg,95,Patrice Leconte,Les bronzés 3: amis pour la vie
Comedy,Drôle de Félix,"A charming comedy about going on a rather long walk. Félix is a laid-back guy living in the bleak northern coastal town of Dieppe. He lives happily with his lover Daniel and is a soap opera enthusiast and HIV-positive. After losing his job, Félix decides to find the father he never knew in Marseilles. Agreeing to meet Daniel in the southern port city in a week's time, Félix throws on his backpack and starts hiking. On his way, he discovers that family need not always be connected by blood.",2000-04-19,2.62,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/62DDLzTOsqRYX5vWi9v2KflNykS.jpg,95,"Olivier Ducastel, Jacques Martineau",Drôle de Félix
"Romance, Drama, Comedy",Molière,"Molière, a down-and-out actor-cum-playwright up to his ears in debt. When the wealthy Jourdain offers to cover that debt so that Molière's theatrical talents might help Jourdain win the heart of a certain widowed marquise, hilarity ensues.",2007-01-31,7.32,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/3nfp9JCCzt1QlRhEzQfz5EkjLYn.jpg,115,Laurent Tirard,Molière
"Crime, Drama",Un prophète,"Sentenced to six years in prison, Malik El Djebena is alone in the world and can neither read nor write. On his arrival at the prison, he seems younger and more brittle than the others detained there. At once he falls under the sway of a group of Corsicans who enforce their rule in the prison. As the 'missions' go by, he toughens himself and wins the confidence of the Corsican group.",2009-08-26,6.99,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/x9Jb8kewBHPzjTtgCQvoQoDsy4d.jpg,155,Jacques Audiard,Un prophète
"Drama, Comedy, Science Fiction, Romance",Thomas est amoureux,"Thomas Thomas is agoraphobic, has a computer-generated girlfriend, and hasn't left his home in years. Can a prostitute convince him to leave cyberspace and his home for the real world?",2000-09-03,2.26,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/arGyer9OBtMq5QGBvQEPRquqOIK.jpg,97,Pierre-Paul Renders,Thomas est amoureux
"Adventure, Comedy, Drama, Romance",The Brothers Bloom,"The Brothers Bloom are the best con men in the world, swindling millionaires with complex scenarios of lust and intrigue. Now they've decided to take on one last job – showing a beautiful and eccentric heiress the time of her life with a romantic adventure that takes them around the world.",2008-09-09,13.489,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/xIz8iwzyjgWGzcIwHKpqhBs77ML.jpg,114,Rian Johnson,Une arnaque presque parfaite
Comedy,Dans la peau de Jacques Chirac,"Since 1967, Jacques Chirac has appeared everyday on television : millions of hours of automatic gestures, jerky speeches and feverish cavalcades.  This mockumentary is based on archival footage and told at the first person (the voice of the French president is provided by imitator Didier Gustin). The main comic effect comes from the contradictions between the various speeches of the French President. The title comes from the title of the French-language version of Being John Malkovich.",2006-05-31,1.4,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/ylJaVybZjvOliJaXvCYLdlJLqK8.jpg,90,"Michel Royer, Karl Zéro",Dans la peau de Jacques Chirac
Comedy,L'Entente Cordiale,"The upper-class secret agent teaming up accidentally with an easily-corrupted, sly interpreter...",2006-06-21,2.684,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/iK5NMzfMZr5kM5mHT5RKYnbTdPK.jpg,100,Vincent De Brus,L'entente cordiale
"Adventure, Crime, Drama, Fantasy, Mystery, Thriller",Le Concile de pierre,"In France, the single translator Diane Siprien adopts an Asian baby named Liu-San in a foundation directed by Sybille Weber. Years later, a weird mark appears on the boy's chest and Diane and Liu share their dreadful nightmares. Diane is assigned for a three-day job in Germany and she leaves Liu with her friend Sybille. However, while going to the airport, Diane finds Liu hidden in the backseat and startles with an eagle flying toward the windshield, crashing her car. Liu falls into a coma and his digital recorder records the boy speaking in an unknown dialect. When Diane searches the translation and the origins of Liu, she is surrounded by mysterious murders. She discovers that the dialect is from the mystic Mongolian Tseven tribe and that Liu is a powerful Observer; further, he is in danger, threatened by sorcerers that need the boy for their Council of the Stone..",2006-11-15,5.617,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/mrcpSFVKjQlZqKECiumCdekcWt5.jpg,102,Guillaume Nicloux,Le Concile de Pierre
"Action, Drama, Crime, Thriller",Le Convoyeur,"Vigilante, a small armored truck company, is in full crisis mode. Victim of three violent hold-ups in a year, which left no survivors, the company is on the verge of bankruptcy and its employees are extremely worried. Some even suggest a complicity between the robbers and the firm.  It is in this difficult context that a man, Alexandre Demarre, one morning presents himself to start his first day of work at Vigilante.",2004-04-14,7.033,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/huGODrOTIElqmV3WuOHwo2IFZVv.jpg,95,Nicolas Boukhrief,"Ketchup, Le convoyeur"
Comedy,RRRrrrr!!!,"37 000 years ago, two neighboring tribes lived in peace ... not fully in peace. While the tribe clean hair flowed peaceful days by keeping to herself the secret formula shampoo, Tribe Hair Sales lamented. Its leader decided to send a spy to steal the recipe ...",2004-01-28,18.818,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/qsGU6myn85MfqpNAxzJtxJ3VgrM.jpg,94,Alain Chabat,RRRrrrr!!!
"Fantasy, Adventure, Family",Les Enfants de Timpelbach,"The children of a small European mountain village end up being its only residents, soon after the adults cannot take their behavior any longer.",2008-12-17,7.362,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/fpM57XnYSWwUk4Xvkx8KLBJ0ESR.jpg,133,Nicolas Bary,Les enfants de Timpelbach
"Horror, Comedy, Music",Dead & Breakfast,"Six friends on a road trip stop for the night at a bed and breakfast in the sleepy town of Lovelock. After a night that leaves both the inn's owner and chef dead, the gang finds themselves under suspicion by the local sheriff. But that's only the beginning as nearly all of the town's quirky residents become possessed by an evil spirit and pin down the friends inside the B&B.",2004-03-16,5.65,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/A10Ce0fJ4RvVvTGm2mbvG08Nc7N.jpg,88,Matthew Leutwyler,Dead & Breakfast
Comedy,LOL (Laughing Out Loud),"Lola, a striking teenaged girl who is on the cusp of adulthood, who longs to rush into the adult world of independence, freedom and sexual exploits, but is tenaciously held back by her mother.",2009-02-04,7.617,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/cqAlMlnCh2pTaM7us9bO2WlODEY.jpg,103,Lisa Azuelos,Lol
Thriller,Contre-enquête,A cop investigates whether the man convicted of murdering his daughter is really guilty.,2007-03-07,6.794,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/huswFtH8wSaezEtGEs4AmgvhVw8.jpg,85,Franck Mancuso,Contre-enquête
Drama,أبونا,"Two boys (Tamir & Amine) awake one morning to find that their father has abandoned their family. Shocked, they begin to misbehave. While surreptitiously watching a movie, they think they see their father speaking to them and steal the film to examine the frames. Their mother (Achta) eventually despairs and sends them to Koranic school. Unhappy, they plan their escape until the eldest boy falls in love with a deaf girl (Khalil).",2002-09-10,1.53,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/hoMRVQIEc8TNMG2AEEn54t0OUL6.jpg,84,Mahamat-Saleh Haroun,Abouna
"Crime, Drama",L'Homme du train,"A man, Milan (played by Johnny Hallyday) steps off a train, into a small French village. As he waits for the day when he will rob the town bank, he runs into an old retired poetry teacher named M. Manesquier (Jean Rochefort). The two men strike up a strange friendship and explore the road not taken, each wanting to live the other's life.",2002-09-02,3.516,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/RVPULCXUjssqgu8hWTf9liKhVW.jpg,90,Patrice Leconte,L'homme du train
"Fantasy, Comedy, Drama",Ricky,"When Katie meets Paco they fall in love. From this an extraordinary child is born; Ricky, who quickly develops into something wonderful and not so normal.",2009-02-11,6.804,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/2n3UNhg9GhDK9aymmR2anM9rR3h.jpg,90,François Ozon,Ricky
"Crime, Action",Nid de guêpes,"Laborie is a high-flying officer in the French special forces. Her mission is to escort Abedin Nexhep, a godfather of the Albanian mafia. Charged with heading a wide-reaching prostitution network, this formidable criminal is due to stand trial before a European court. During the transfer, killers hired by Nexhep set up an ambush to free their boss but Laborie and her men manage to escape...",2002-03-06,6.871,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/5mamCUxm8jaFVeMH7DFgrSticd5.jpg,107,Florent-Emilio Siri,Nid de guêpes
"Comedy, Drama",Avril,"Avril is a novice in a convent of ""Baptistine"" sisters, a monastic order which was officially dissolved by the end of the nineteenth century but that is kept alive by Mère Marie Joseph, the sadistic superior. While Avril is on retreat, locked in for a fortnight in a chapel prior to taking her vows, Soeur Bernadette, a sympathetic sister, discloses a secret to her: she has a twin brother...",2006-06-13,1.812,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/4oW0GR3rtFmNQ4OWVh2o1Hvi9E2.jpg,96,Gérald Hustache-Mathieu,"Les poils du pinceau, Avril"
"Drama, Comedy, Romance",Chéri,"A sumptuous dramatic comedy set in late 19th Century France, during the Belle Epoque, a period of social and cultural excess in European upper classes which ended only as the First World War erupted.",2009-04-08,9.963,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/wq7uOs9bB4ZAV59tApzwL9go6oz.jpg,86,Stephen Frears,Chéri
"Drama, Action",Chok-Dee,Dida Diafat plays himself in this story based around his thai boxing career.,2005-02-16,2.573,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/3vndMgKR6O6ZBCiki9huWdPNSoT.jpg,105,Xavier Durringer,Chok-Dee
"Romance, Drama",Caos calmo,"Pietro is a successful businessman with a wife and a daughter. One day he helps his brother save two women from drowning at the beach. When he returns home he finds that his wife has died. Now Pietro has to take care of his daughter, Claudia. When he drives her to school soon after, he decides to wait for her all day in front of the school, and soon that's what he does every day.",2008-02-08,7.267,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/3wx2fd6UnFBQRKV6dTBKhRze4ep.jpg,108,Antonello Grimaldi,Caos Calmo
"Comedy, Romance",Youth in Revolt,"As a fan of Albert Camus and Jean-Luc Godard, teenage Nick Twisp is definitely out of his element when his mother and her boyfriend move the family to a trailer park. When a pretty neighbor named Sheeni plays records by French crooners, it's love at first sight for frustrated and inexperienced Nick. Learning that she is dating someone, Nick launches a hilarious quest to find his way into Sheeni's heart -- and bed.",2009-09-11,8.852,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/3J48x7Utjx0sdYIvjsMWnlEbxpV.jpg,87,Miguel Arteta,Be Bad!
"Animation, Adventure",Les enfants de la pluie,There is a world with two towns that are big enemies: Pyross and Hydross.,2003-06-25,7.817,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/y2kgHDMmPkvc6m1MzavSYPkox5k.jpg,90,Philippe Leclerc,Les enfants de la pluie
Animation,"Le Chien, le général et les oiseaux","A long time ago, a young Russian general chose to sacrifice hundreds of birds to burn Moscow and save his motherland from the troops of Napoleon. For this feat, he was hailed as a hero by the people of Russia but regarded an executioner by the winged creatures. Now fifty years older the aging general leads a drab life. To make matters worse, the descendants of the sacrificed birds keep attacking him. One day however a meets an engaging little dog who soon becomes his faithful companion. Both friends decide to break the curse plaguing the general's life : they start militating for all the caged birds of Russia to be set free.",2003-05-15,2.156,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/2gcj7m6Rt05bD8fz1sHpBcWCQ3u.jpg,75,Francis Nielsen,"Le chien, le général et les oiseaux"
"Family, Animation, Fantasy",Bécassine - Le Trésor Viking,"Known and loved by generations of children, Pinchon's classic Bécassine is now a feature-length movie. A cross between Mary Poppins and Mr Bean, Bécassine is the nanny every child dreams of having ! Her mismatched green dress, white apron and red-and-white striped socks might look a little strange, but the gawky Bécassine is a truly lovable character. Her adventures begin when Bécassine arrives in Paris to take care of Charlotte, the daughter of one of her former charges. Bécassine and Charlotte get caught up in a fanatic and comical adventure filled with song and dance. They race from Paris to Marseilles to Ibiza and Lapland trying to unravel the mystery of what happened to Charlotte's father, Edmond. What is he running from ? What secret is he trying to protect ? Will Charlotte's family escape the evil clutches of Gaspard, a so-called family friend ?",2001-12-12,1.541,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/kESHAdhPd0neabpdftbvruS3S0t.jpg,85,Philippe Vidal,Bécassine: Le Trésor viking
Documentary,L'avocat de la terreur,"A documentary on Jacques Vergès, the controversial lawyer and former Free French Forces guerrilla, exploring how Vergès assisted, from the 1960s onwards, anti-imperialist terrorist cells operating in Africa, Europe, and the Middle East.  Participants interviewed include Algerian nationalists Yacef Saadi, Zohra Drif, Djamila Bouhired and Abderrahmane Benhamida, Khmer Rouge members Nuon Chea and Khieu Samphan, once far-left activists Hans-Joachim Klein and Magdalena Kopp, terrorist Carlos the Jackal, lawyer Isabelle Coutant-Peyre, neo-Nazi Ahmed Huber, Palestinian politician Bassam Abu Sharif, Lebanese politician Karim Pakradouni, political cartoonist Siné, former spy Claude Moniquet, novelist and ghostwriter Lionel Duroy, and investigative journalist Oliver Schröm.",2007-06-06,2.597,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/10HlzNT0pqblQKgfo8fe7vPNxvG.jpg,135,Barbet Schroeder,L'Avocat de la terreur
"Animation, Adventure, Family",L'île de Black Mór,"Kid, a 15-year-old hard laborer, steals a map that promises to reveal the location of the notorious pirate Black Mor's treasure. Together with his crew -- MacGregor, Beanpole, Taka and Jim the monkey -- Kid procures a vessel and sets out to sea.",2004-02-11,2.299,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/r1bfalxdKKMhM8w3r1ngmxelr68.jpg,85,Jean-François Laguionie,"Le trésor de Blackmore, L'Île de Black Mór"
"Crime, Drama, Mystery, Thriller",Dédales,"Psychologist Dr. Brennac is asked by a colleague to help with the case of Claude, a patient on trial for multiple murders. Is Claude really guilty of the crimes, or is he a victim of his own mind?",2003-09-09,2.888,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/a7fD9Ls1qSBLWOpLgcbrM8R0jqo.jpg,100,René Manzor,Dédales
Comedy,Ripoux 3,"Voilà dix ans que les chemins de René et de François se sont séparés. De l'époque glorieuse où, flics, ils écumaient le quartier Montmartre, il ne leur reste qu'une poignée de souvenirs, l'argent de leurs ripouseries s'étant évaporé avec le temps. Tout à une fin. Jusqu'à ce que ça recommence. René, à la limite de la clochardisation, survit avec pour domicile un bateau déglingué...",2003-12-10,4.121,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/nAXEleEFzK4BvvUg4ffCSxg2obt.jpg,105,Claude Zidi,"Super ripoux, Ripoux 3"
Animation,La Prophétie des grenouilles,"It's a catastrophe! A flood has hit our planet and an unusual group of people are all that remains. Led by Ferdinand, a modern day Noah, this little group have managed to defy the furiously raging elements. People and animals alike are dragged through this incredible whirlpool of an adventure.",2003-12-03,7.148,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/k6E3mk4NChtf38uMYsc0cvAe5IA.jpg,90,Jacques-Rémy Girerd,La prophétie des grenouilles
Drama,The Human Contract,A free-spirited woman leads a businessman down a path of reckless abandon.,2008-09-12,7.942,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/fGzk7eIGscDHzTaIRrIUDdece7Z.jpg,107,Jada Pinkett Smith,Attraction
Documentary,Jackie the Wolf,"Jackie Jencquel, author and activist, is not terminally ill when she announces her death date—she simply refuses to live beyond a certain age. This unconventional conversation between a mother and her son, the filmmaker, tackles desire, personal autonomy, vanity and money.",2023-05-01,3.654,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/aBssXgdKpT87EXFVX4UwtyxiDcs.jpg,93,Tuki Jencquel,La mort du loup
Documentary,Knit's Island,"Somewhere on the internet is a land where communities pretend to live out a survivalist fiction. The avatars of the directors of Knit’s Island spent 963 hours there, creating a fascinating film resulting from their encounter with these communities. The “players” reveal their fears and fantasies, in an at times unsettling blurring of the real and the virtual.",2023-04-22,1.776,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/dlGwx2D7EjiY2KCk9SMm3LcdMaN.jpg,95,"Ekiem Barbier, Guilhem Causse, Quentin L'Helgouac'h","Knit's Island, L'Île sans fin"
Documentary,The Lost Boys of La Belle Étoile,"As children in the 60s and 70s, Dédé, Michel and Daniel were sent to the Belle Étoile Catholic “correctional” facility located in the Savoie region of France. There, they were beaten, humiliated, starved and broken. With the help of director Clémence Davigo, they finally reunite to break their silence. A moving chronicle in search of memory and justice.",2023-04-23,2.14,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/mgqieXYapI8CIcCERMuWCQUAC59.jpg,106,Clémence Davigo,Les oubliés de la Belle Étoile
"Action, Drama",Kill Dating,"In the near future, an unknown disease struck women around the world and many of them succumbed to this terrible epidemic. When the threat was finally eradicated, there were practically no women left on earth.",2023-05-10,12.735,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/njebKn24ylrHA9Eni7PJyPHZ7cP.jpg,87,Olivier Goujon,Kill Dating
Documentary,Al Djanat – The Original Paradise,"The death of a Burkinabé family’s patriarch and the division of his estate unearths conflict between his heirs and larger questions about inheritance, belonging and the communal customs of West Africa versus Westernized courts.",2023-04-23,1.873,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/l540gFxC5iYN7k4s1UxIkPYjj2a.jpg,84,Aïcha Chloé Boro,Al Djanat
"Thriller, Action, Crime",AKA,A steely special ops agent finds his morality put to the test when he infiltrates a crime syndicate and unexpectedly bonds with the boss' young son.,2023-04-28,988.329,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/3BSxAjiporlwQTWzaHZ9Yrl5C9D.jpg,122,Morgan S. Dalibert,AKA
Documentary,État limite,"Things are busy at the Paris hospital where young psychiatrist Jamal and his colleagues work. The place is run down, the staff are exhausted, budgets are constantly being slashed. You know the story, but you’ve rarely seen it conveyed as engagingly as in ‘On the Edge’, which employs a handheld camera and meaningful, artistic interventions to observe the daily routine at the psychiatric ward.  The deeply sympathetic Jamal is an everyday hero with an exemplary, humanistic disposition, for whom the most important prerequisites for mental health – and for a healthy society in general – are good relationships with other people. He puts his philosophy into practice by listening patiently, giving good advice and organising theatre exercises based on Molière. Realism and idealism, however, are in balance for the young doctor, at least as long as the institutional framework holds up.",2023-03-18,0.795,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/lnRPuHjAi4WTQ4w09AK6OMw4dDR.jpg,93,Nicolas Peduzzi,État limite
Documentary,La belle ville,"A city that combines the benefits of the countryside with the advantages of the urban world. Manon and François, two young city dwellers, have left everything behind to travel the world in search of concrete initiatives that put nature back at the heart of cities. Between the intoxicating green columns of Mexico, the unusual production of mushrooms in dark cellars of Brussels or a fierce Japanese composting technique without odor, they discovered positive and accessible solutions that already work. Along the way, they met these ordinary people with revolutionary ideas. By linking all these solutions, they offer us their visions of what could be the beautiful city of tomorrow.",2023-04-26,3.332,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/tJb81yVSERnOXDYk5UsqnlsgrnY.jpg,85,"François Marques, Manon Turina",La belle ville
Documentary,Mon pire ennemi,"Mojtaba, Hamzeh, Zar are among other individuals who have been thrown into prison and ideologically interrogated in Iran. In this documentary, the director wants them to interrogate him as agents of the Islamic Republic might. He would like the real torturer in Iran to see himself through the film as if in a mirror. The violent experience of putting themselves in the torturer's head confronts them with their own limits and the ambivalence of the project itself.",2023-02-21,1.4,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/dkjcselnLriF2gHwwoyLlGFDnP6.jpg,82,Mehran Tamadon,Mon pire ennemi
Documentary,"Orlando, ma biographie politique","Virginia Woolf’s “Orlando” tells the story of a young man who grows up to become a 36-year-old woman. Almost a century after its publication, Paul B. Preciado speaks to Virginia Woolf to tell her that her fictional character has become a reality. The transition of Orlando’s body now lies at the root of all non-binary bodies and there are Orlandos all over the world. Through the authentic voices of other young bodies undergoing metamorphosis, Preciado retraces the stages of his personal transformation through a poetic journey in which life, writing, theory and image merge freely in the search for truth. Every Orlando, he says, is a transgender person who is risking his, her or their life on a daily basis as they find themselves forced to confront government laws, history and psychiatry, as well as traditional notions of the family and the power of multinational pharmaceutical companies.",2023-10-11,2.411,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/dsEsYLBgo9pIumB3kgToDWuOg7x.jpg,98,Paul B. Preciado,"Orlando, ma biographie politique"
Drama,Je m'abandonne à toi,"Paul, a Padre in the Foreign Legion, is immersed in the sufferings of war. One by one, he is solicited by the families of the dying and by tormented soldiers. Always present at the side of others, Paul also tries to comfort a person who is dear to him: his mother.",2023-03-22,1.32,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/wE55wxNZGi6I3iRxKYWyRXVXR9Q.jpg,95,Cheyenne Carron,Je m'abandonne à toi
Drama,Sira,"After a brutal attack, a young nomad named Sira refuses to surrender to her fate without a fight and instead takes a stand against Islamist terror. A feminist counterpoint to current reporting from the Sahel region.",2023-02-16,1.115,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/hKCVQw86xfzXGhYEhVRKjRpWWBn.jpg,122,Apolline Traoré,Sira
